V	J	I	P1	P2	I_srh	I_rad	I_aug	FCA
0	5.87782086066839e-05	1.76334625820052e-07	9.99389748470496e-25	1.01457019130832e-27	3.80748064693899e-22	8.58925394874494e-25	5.12824193779958e-32	0.138129532261312
0.05	0.0362524714130489	0.000108757414239147	9.61504494250617e-24	9.76109470973287e-27	5.30835150027261e-17	1.25585603853782e-19	2.31277496745223e-25	0.138362309144545
0.1	0.034280194251498	0.000102840582754494	6.39819547220944e-23	6.49538222120279e-26	3.35125027541456e-16	8.35749924508336e-19	2.07535905699107e-24	0.138611964784094
0.15	0.0343055288522675	0.000102916586556803	3.74447978120202e-22	3.8013573521026e-25	1.84750923673638e-15	4.89154474329084e-18	1.5917572035492e-23	0.138879327723402
0.2	0.000576995222338738	1.73098566701621e-06	2.14847950301516e-21	2.18111428872683e-24	9.93587665690863e-15	2.80690032205357e-17	1.16298797375259e-22	0.139165128241056
0.25	-8.20464656770478e-05	-2.46139397031144e-07	1.23153872403025e-20	1.25024544303685e-23	5.32593733085903e-14	1.60912942156846e-16	8.25110717140197e-22	0.139469974825854
0.3	0.032728397980896	9.8185193942688e-05	7.09077004209327e-20	7.19847679960696e-23	2.86889713662964e-13	9.26594109419953e-16	5.72046466895844e-21	0.139794340958302
0.35	0.0324304317995985	9.72912953987956e-05	4.10938014682647e-19	4.17180044932936e-22	1.56011981316566e-12	5.37070688122639e-15	3.88916288447544e-20	0.140138569189585
0.4	0.0324244190353095	9.72732571059286e-05	2.39878709586426e-18	2.4352239819186e-21	8.58753883165561e-12	3.1355360685881e-14	2.59946762269032e-19	0.140502890578999
0.45	0.032393500779493	9.7180502338479e-05	1.41032567389433e-17	1.4317481152472e-20	4.79058076340528e-11	1.84378581709201e-13	1.71174181216158e-18	0.140887458931389
0.5	0.0317306732130643	9.51920196391929e-05	8.34808693456603e-17	8.47489197405073e-20	2.7090907237457e-10	1.09157857063851e-12	1.11268973929607e-17	0.141292394284605
0.55	0.0323900746593626	9.71702239780878e-05	4.97236801887989e-16	5.04789685894932e-19	1.55231822467253e-09	6.50300819254465e-12	7.15372867635992e-17	0.141717835041141
0.6	0.0342210904875935	0.00010266327146278	2.9786868312356e-15	3.02393222748122e-18	9.00452685168089e-09	3.89641159940696e-11	4.55838084063845e-16	0.142164011849136
0.65	0.0342704194168395	0.000102811258250519	1.79438851256177e-14	1.82164475797102e-17	5.28096223182689e-08	2.34774537288563e-10	2.88790749303106e-15	0.142631422828172
0.7	0.0343658657895005	0.000103097597368502	1.08952219752423e-13	1.10607172633957e-16	3.12600694165654e-07	1.42583270660783e-09	1.83765984678762e-14	0.143121557454491
0.75	0.0260329605380079	7.80988816140235e-05	6.78326195874694e-13	6.88629775691915e-16	1.86160544387618e-06	8.87889458249591e-09	1.2377176102165e-13	0.14364095209847
0.8	0.036315498350566	0.000108946495051698	4.86000033714728e-12	4.93382234445004e-15	1.10129658455863e-05	6.36134737280242e-08	1.20766965235699e-12	0.144232781804288
0.85	0.0450452117328699	0.00013513563519861	8.53124334260085e-11	8.66083047524471e-14	5.5055455335303e-05	1.11580389886616e-06	1.02346648513305e-10	0.145648472131479
0.9	0.090366700554559	0.000271100101663677	1.39198517268461e-09	1.41312902709915e-12	0.000176453214857439	1.82124025800093e-05	9.31368826187992e-09	0.151173467447102
0.95	0.27796999733792	0.00083390999201376	1.17918207183617e-08	1.1970935083546e-11	0.000571853386586635	0.000154481507850942	2.11605458627579e-07	0.161657283380153
1	0.998061172418972	0.00299418351725691	8.11274444952972e-08	8.2359747043552e-11	0.00180651555760086	0.00106541071127429	3.26453038497455e-06	0.180648579869729
1.05	3.74456908145953	0.0112337072443786	4.5348544826111e-07	4.60373761790091e-10	0.00509291360021552	0.00598125932295602	3.79873466232366e-05	0.214371727136853
1.1	12.3648709300665	0.0370946127901994	1.85940763326447e-06	1.88765150041659e-09	0.0119649014268679	0.0246955671664578	0.000293960176664483	0.268403027829416
1.15	34.4595534303021	0.103378660290906	5.77154270185644e-06	5.85921077550409e-09	0.0242149824377055	0.0774539604691465	0.00156247784388481	0.349060890188395
1.2	89.5659872303054	0.268697961690916	1.57405395821965e-05	1.5979633851204e-08	0.0467266879531416	0.214794999949558	0.00702895447285968	0.478591311199534
1.25	226.91830965844	0.68075492897532	0.000112931527592684	1.14646925015795e-07	0.0914097843628255	0.560061984745553	0.0290747659290715	0.705146251333223
1.3	625.888475321917	1.87766542596575	0.964964255466946	0.000980182793911151	0.130061240372715	0.772484361129408	0.0473897476628122	0.85082962916525
1.35	1,378.11117468414	4.13433352405241	3.13753148186883	0.00318580189555613	0.167920316724548	0.834275327646985	0.0544215584883792	0.944538431693412
1.4	2,613.81792505045	7.84145377515136	6.57953733712379	0.00668013158779875	0.229039234775101	0.936811104904098	0.0654270503053035	1.09436773402292
1.45	4,532.864273367	13.598592820101	11.6348721295962	0.0118122968404734	0.322944152134621	1.12185351149693	0.0832576714647764	1.32484523831907
1.5	7,347.49826959659	22.0424948087898	18.49175410882	0.0187733790610756	0.458002110768955	1.45113516778504	0.110123943479463	1.65661749206686
1.55	11,244.5781401871	33.7337344205614	27.070755433289	0.0274827454408449	0.638265270329025	2.00148702170177	0.146529451415807	2.09757066117652
1.6	16,357.0896498671	49.0712689496012	36.9981819960458	0.0375610270376228	0.864439201476116	2.86883488076845	0.194794558741464	2.64844184643249
1.65	22,753.3359774962	68.2600079324886	47.6805400089779	0.048405718259392	1.13647789958713	4.17739246315076	0.263085479308863	3.31319614970365
1.7	30,447.6889843414	91.3430669530241	58.4677809945838	0.059356901036483	1.45462445335147	6.07766560341313	0.365902512491182	4.10122276162855
1.75	39,420.1946669889	118.260584000967	68.8044921152662	0.0698507304360437	1.81992169396991	8.74253008590975	0.523748659889525	5.02667692747001
1.8	49,641.2428111267	148.92372843338	78.3064046851668	0.0794971060193582	2.23508659716666	12.3731915931908	0.764070898046389	6.10987493616564
1.85	61,094.9956528858	183.284986958657	86.7448790834639	0.088063923839451	2.70687695945148	17.2237529649376	1.12557341042522	7.38591660485376
1.9	73,847.304066037	221.541912198111	93.9463903082841	0.0953750389459033	3.25905796611243	23.7597391229548	1.67883415186777	8.95461812631493
1.95	88,227.8961966888	264.683688590066	99.7359015220624	0.101252764423662	3.95596997784451	33.1720319962864	2.58047976717734	11.0677705653363
2	104,852.623021492	314.557869064475	103.881265948067	0.105461473692441	4.88066918313616	47.3017136952105	4.08959314061103	14.0488932996793
2.05	154,314.677544105	462.944032632314	0.000333252605760256	3.34895913954899e-06	18.7464013357958	365.380899092591	49.4891862550896	67.8896200569014
2.1	175,513.936378158	526.541809134474	0.000292547795902918	2.94966321093792e-06	19.8044740599016	404.369176728568	55.9844242946116	71.4825979318419
2.15	199,378.006242244	598.134018726733	0.000263774131607254	2.6626640415565e-06	20.8284211191048	443.769304567567	62.7887172444808	74.9240144550784
2.2	226,536.32607517	679.608978225511	0.000242313706584419	2.44705308482288e-06	21.8231468001827	483.516711742937	69.8830071742667	78.2288248101762
2.25	257,659.8572254	772.9795716762	0.000225655821138091	2.27916976584806e-06	22.7929953744448	523.561373154268	77.2488846045498	81.4102115301136
