V	J	I	P1	P2	I_srh	I_rad	I_aug
1.6	14,257.8694647173	71.2893473235863	54.9797568459667	0.0558148835393466	1.12913779571981	2.51789406045784	0.0714150793310429
1.65	19,957.7680275682	99.7888401378408	71.4188937154633	0.0725037261697164	1.49963190725516	3.80884351152103	0.0959134599435446
1.7	26,896.7872135629	134.483936067814	88.5292734041825	0.0898740076046718	1.93323580223315	5.77558128081006	0.142046050286462
1.75	35,037.7369394095	175.188684697048	105.556404123165	0.107159775541984	2.42101328180879	8.55842750054159	0.221975964419349
1.8	44,305.7418147044	221.528709073522	121.967976257043	0.12382063473633	2.9530964307649	12.262075148764	0.349956726293788
1.85	54,608.2379889665	273.041189944833	137.454644292935	0.139542540805458	3.52010136760865	16.9534360240634	0.541255622054159
1.9	65,848.4289860715	329.242144930358	151.876846206267	0.154183811817784	4.11373944113116	22.6655651261498	0.811138900723439
1.95	77,934.2703699674	389.671351849837	165.205219116512	0.16771463887907	4.72702527197577	29.404130928458	1.17407678420328
2	90,785.3380608253	453.926690304127	177.473695172442	0.180169469557667	5.35432071344974	37.1546187898325	1.64322939054821
2.05	104,338.552818164	521.692764090821	188.747577521889	0.191614598937443	5.99127612357555	45.8890671782481	2.23019357430873
