V	J	I	P1	P2	I_srh	I_rad	I_aug
0	3.94282685569463e-05	1.97141342784732e-07	3.15480433163464e-23	3.20272490205695e-26	9.49243077816328e-22	2.14374535585505e-24	1.0268190288975e-30
0.05	1.51989731488698	0.00759948657443491	1.58384967204176e-23	1.60790789301806e-26	8.84713179635205e-17	2.09306416702325e-19	3.85456312235577e-25
0.1	1.44328445383834	0.00721642226919169	1.05392862803099e-22	1.06993750076304e-25	5.58535621456259e-16	1.39290085804105e-18	3.45888666196612e-24
0.15	1.44391326305376	0.0072195663152688	6.16787561306027e-22	6.26156386963704e-25	3.07914935727356e-15	8.15248477724445e-18	2.652895196799e-23
0.2	1.92657278233342	0.00963286391166708	3.53887807456099e-21	3.59263261467223e-24	1.65595540489691e-14	4.67809661710838e-17	1.9382802490152e-22
0.25	1.83259246327131	0.00916296231635654	2.02847795223651e-20	2.05928994890633e-23	8.87642809979168e-14	2.68184022895986e-16	1.3751604667904e-21
0.3	1.37173566175284	0.00685867830876419	1.16789698486113e-19	1.18563700415419e-22	4.78144536363806e-13	1.54430678730324e-15	9.53399440314394e-21
0.35	1.37177222296743	0.00685886111483716	6.76822935273634e-19	6.87103680994688e-22	2.60017216770394e-12	8.95107997685626e-15	6.48186115095631e-20
0.4	1.37176204753781	0.00685881023768906	3.95073037903662e-18	4.01074083719714e-21	1.43124126610837e-11	5.22583612277834e-14	4.33239520160146e-19
0.45	1.37176966757667	0.00685884833788337	2.32269040100198e-17	2.35797140014806e-20	7.9842159846073e-11	3.07294260375036e-13	2.8528698727031e-18
0.5	1.37172147454979	0.00685860737274895	1.37481526374382e-16	1.39569831217991e-19	4.51510262225986e-10	1.81927756789533e-12	1.85446149849633e-17
0.55	1.37112672722143	0.00685563363610714	8.18851951105283e-16	8.31290076726866e-19	2.587168923666e-09	1.08382268226711e-11	1.19227439097184e-16
0.6	1.44330439876265	0.00721652199381326	4.90513499870863e-15	4.97964258853901e-18	1.50073720185764e-08	6.49394334920156e-11	7.59720979245992e-16
0.65	1.44397130749875	0.00721985653749376	2.95478422957643e-14	2.99966655217765e-17	8.80150049116355e-08	3.91286241644259e-10	4.81312044776253e-15
0.7	1.44401677817929	0.00722008389089645	1.79402216437561e-13	1.82127284506128e-16	5.20995024461899e-07	2.37635942500884e-09	3.06272874609509e-14
0.75	1.444127082643	0.007220635413215	1.11689364141008e-12	1.13385893458555e-15	3.10263954385119e-06	1.47979777161251e-08	2.06283585568891e-13
0.8	1.37432636070723	0.00687163180353615	8.00181445141926e-12	8.1233597114788e-15	1.83547500745844e-05	1.0602107745231e-07	2.01274894568709e-12
0.85	1.03118841273055	0.00515594206365276	1.40447411817415e-10	1.42580767607864e-13	9.17585664874576e-05	1.85964457310453e-06	1.70573297104874e-10
0.9	1.50455615621782	0.00752278078108912	2.290542621571e-09	2.32533530519377e-12	0.000294086532982843	3.03535650177303e-05	1.55224754209712e-08
0.95	1.8310713041167	0.00915535652058349	1.9386999629497e-08	1.96814825778393e-11	0.000953081155256575	0.000257465570168093	3.52668719522947e-07
1	2.64156197888304	0.0132078098944152	1.33175190073418e-07	1.3519808290719e-10	0.00301083481827629	0.00177566054998783	5.44078006009842e-06
1.05	5.47677494298297	0.0273838747149148	7.42390163489294e-07	7.53666856548697e-10	0.00848812722310407	0.00996864386295178	6.33111369451334e-05
1.1	14.2820809646176	0.071410404823088	3.03088703787653e-06	3.07692534024737e-09	0.0199413729657246	0.0411588387057822	0.000489926013106584
1.15	36.477809358275	0.182389046791375	9.34870384314069e-06	9.49070796567225e-09	0.0403580624163114	0.129088702634033	0.00260409323494979
1.2	91.5837213067843	0.457918606533921	2.5248363412364e-05	2.56318787907404e-08	0.077877352450571	0.357988484220301	0.011714770060798
1.25	228.757232574037	1.14378616287018	0.0201134694566946	2.04189872727669e-05	0.151213496272474	0.921799271823409	0.0475624570850591
1.3	626.953145358569	3.13476572679284	1.98176292045977	0.00201186532923293	0.180131201446478	0.931133376199257	0.0479545257818771
1.35	1,295.80800478962	6.4790400239481	5.22171085884046	0.00530102714493366	0.229040747660576	0.949958830609456	0.0484436956405517
1.4	2,366.93921794532	11.8346960897266	10.2318398955693	0.0103872586007323	0.30687505767448	0.994267090546112	0.0492787335775713
1.45	4,006.81559940214	20.0340779970107	17.5201486873952	0.0177862747068649	0.424691272259653	1.09496800179237	0.0507529077700078
1.5	6,410.61069343162	32.0530534671581	27.4562224895314	0.0278732746122722	0.594665359251039	1.31090870359706	0.0535597396528898
1.55	9,774.15090158559	48.8707545079279	40.0761551971639	0.040684900468027	0.827442009350432	1.73949640578623	0.05931831750524
